Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Thanyah Fifth,Villa,3019275.0,1/11/2022,5920.15,,0,,Jumeirah Park,Jumeirah Lakes Towers,12.8,65.6
Al Thanyah Fifth,Villa,4350000.0,13-04-2022,6166.1,,0,,Jumeirah Park,Harbour Tower,14.5,74.8
Al Thanyah Fifth,Villa,2900000.0,10/8/2020,5686.39,,0,,Jumeirah Park,Jumeirah Lakes Towers,13.5,69.0
Wadi Al Safa 5,Land,3800000.0,1/9/2021,6846.85,,0,,The Villa,,7.9,41.5
Al Warsan First,Land,1200000.0,3/1/2023,3367.48,,0,,International City Phase 1,Rashidiya Metro Station,8.4,42.6
Al Hebiah Third,Villa,2575000.0,9/8/2020,5947.29,,0,,DAMAC HILLS,,6.7,34.9
Wadi Al Safa 7,Villa,3700000.0,8/8/2021,6885.9,,0,,Arabian Ranches II - CASA,,5.8,30.9
Al Thanyah Fifth,Villa,3208000.0,16-08-2021,14767.08,,0,,Jumeirah Islands,Marina Mall Metro Station,10.2,52.7
Wadi Al Safa 2,Villa,3300000.0,1/3/2023,7333.33,,0,,Falcon City,,6.8,35.7
Jabal Ali First,Villa,1850000.0,22-03-2021,8258.93,,0,,Al Furjan,Ibn Battuta Metro Station,14.4,73.0
Wadi Al Safa 5,Land,10854193.0,13-06-2022,3767.37,,0,,Residential Complex,,14.8,79.7
Me'Aisem First,Villa,8450000.0,28-02-2022,11853.99,,0,,Jumeirah Golf,Damac Properties,6.7,37.9
Me'Aisem First,Villa,4900000.0,28-10-2020,6853.72,,0,,Jumeirah Golf,Damac Properties,9.2,48.6
Al Yufrah 2,Villa,3000000.0,5/10/2022,7050.53,,0,,DAMAC HILLS 2,,11.3,58.1
Al Warsan First,Villa,1600000.0,7/3/2023,10013.14,,0,,International City Phase 1,Rashidiya Metro Station,9.0,45.8
Island 2,Land,36500000.0,11/2/2021,16077.38,,0,,,Business Bay Metro Station,12.6,82.2
Al Yufrah 3,Villa,1033000.0,7/9/2021,7743.63,,0,,DAMAC HILLS 2,,9.8,49.5
Nad Al Shiba First,Villa,7150000.0,19-09-2021,13965.39,,0,,,Business Bay Metro Station,12.2,64.8
Wadi Al Safa 5,Land,16000000.0,25-10-2022,3440.11,,0,,Residential Complex,,12.0,68.4
Al Yufrah 2,Villa,750000.0,29-08-2022,6682.11,,0,,DAMAC HILLS 2,,13.1,65.9
Hadaeq Sheikh Mohammed Bin Rashid,Villa,3500000.0,16-05-2021,8190.77,,0,,DUBAI HILLS - SIDRA 2,First Abu Dhabi Bank Metro Station,5.8,30.8
Wadi Al Safa 2,Land,1960000.0,18-01-2022,2613.33,,0,,,,13.6,69.0
Al Yufrah 2,Land,1150000.0,2/8/2022,10245.9,,0,,DAMAC HILLS 2,,6.3,32.1
Nad Al Shiba First,Land,3000000.0,27-09-2022,6472.07,,0,,,Business Bay Metro Station,7.1,37.1
Nad Al Shiba Third,Land,2648000.0,15-02-2022,5649.07,,0,,Nad Al Shiba Villas,Creek Metro Station,13.3,67.9
Nad Al Shiba Third,Land,3220000.0,21-11-2022,6869.33,,0,,Nad Al Shiba Villas,Creek Metro Station,12.1,62.2
Nad Al Shiba Third,Land,2628000.0,31-08-2021,5606.4,,0,,Nad Al Shiba Villas,Creek Metro Station,12.1,61.9
Al Thanyah Fifth,Land,3300000.0,13-10-2021,4486.44,,0,,Jumeirah Park,Harbour Tower,11.8,60.7
Hadaeq Sheikh Mohammed Bin Rashid,Land,2431000.0,14-06-2020,1793.95,,0,,HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7,,7.1,36.8
Palm Jumeirah,Land,242430.0,3/1/2022,4144.1,,0,,Palm Jumeirah,,8.2,41.1
Al Thanayah Fourth,Villa,2620000.0,23-12-2021,7404.69,3 B/R,0,,Springs - 1,Damac Properties,11.2,57.4
Al Thanayah Fourth,Villa,1950000.0,25-03-2022,6085.38,2 B/R,0,,Springs - 1,Damac Properties,14.7,74.5
Wadi Al Safa 6,Villa,2575000.0,6/9/2021,4816.87,4 B/R,0,,Arabian Ranches - Al Reem 3,,10.1,51.9
Al Thanyah Third,Villa,2800000.0,30-09-2021,12486.06,,0,,,Nakheel Metro Station,5.7,30.0
Marsa Dubai,Villa,4850000.0,15-08-2021,11423.59,3 B/R,0,,Dubai Marina,Marina Towers,14.6,75.6
Al Yelayiss 1,Villa,1733000.0,7/3/2021,5365.16,3 B/R,0,,,,13.4,67.9
Dubai Investment Park First,Villa,3069899.0,20-12-2020,10156.82,3 B/R,0,,Dubai Investment Park First,DANUBE Metro Station,9.1,47.1
Hadaeq Sheikh Mohammed Bin Rashid,Villa,2300000.0,19-07-2020,7733.43,5 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,11.6,59.2
Hadaeq Sheikh Mohammed Bin Rashid,Villa,1800000.0,18-10-2020,9295.12,3 B/R,0,,DUBAI HILLS - MAPLE 2,First Abu Dhabi Bank Metro Station,14.8,74.9
Nad Al Shiba First,Villa,3500000.0,22-06-2021,16053.57,4 B/R,0,,,Business Bay Metro Station,12.7,65.3
Wadi Al Safa 7,Villa,3302250.0,28-07-2022,16961.58,3 B/R,0,,THE SUSTAINABLE CITY,,15.0,76.7
Al Yelayiss 2,Villa,1200000.0,9/6/2021,6384.68,3 B/R,0,,TOWN SQUARE,,11.0,55.6
Al Yelayiss 2,Villa,1100000.0,4/10/2020,5830.59,3 B/R,0,,TOWN SQUARE,,12.6,63.6
Al Yelayiss 2,Villa,1275000.0,16-11-2020,6549.21,3 B/R,0,,TOWN SQUARE,,11.6,58.7
Wadi Al Safa 5,Villa,1570000.0,12/8/2022,9751.55,3 B/R,0,,,,6.0,30.8
Mirdif,Villa,2792286.0,17-10-2022,6572.87,3 B/R,0,,,Etisalat Metro Station,7.6,39.5
Mirdif,Villa,2965823.0,17-10-2022,6267.99,4 B/R,0,,,Etisalat Metro Station,13.2,67.6
Mirdif,Villa,2109215.0,17-10-2022,7129.1,3 B/R,0,,,Etisalat Metro Station,7.0,36.1
Jabal Ali First,Villa,3500000.0,27-12-2022,19654.09,3 B/R,0,,Al Furjan,Ibn Battuta Metro Station,11.4,58.8
Marsa Dubai,Unit,1730000.0,5/10/2022,10245.17,3 B/R,1,MARINA HEIGHTS 1,Dubai Marina,Marina Towers,11.2,56.9
Al Thanyah Third,Unit,430000.0,18-02-2021,10701.84,Studio,1,AL Dhafrah-4,The Greens,Dubai Internet City,11.5,57.7
Al Thanyah Third,Unit,1300000.0,16-02-2021,5736.22,2 B/R,1,AL THAYYAL-2,The Greens,Dubai Internet City,14.8,74.7
Marsa Dubai,Unit,1700000.0,30-06-2022,12481.64,2 B/R,1,Murjan 3,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,14.0,70.9
Marsa Dubai,Unit,2000000.0,11/3/2020,7811.28,4 B/R,1,Sadaf 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,12.4,63.1
Marsa Dubai,Unit,2500000.0,15-05-2008,14291.43,3 B/R,1,Sadaf 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.1,26.8
Marsa Dubai,Unit,599000.0,22-04-2008,4453.53,2 B/R,1,Sadaf 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,8.7,43.8
Marsa Dubai,Unit,699000.0,20-05-2008,3942.47,3 B/R,1,Sadaf 8,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,14.0,70.4
Marsa Dubai,Unit,3700000.0,28-05-2008,14437.9,4 B/R,1,Sadaf 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,10.2,52.9
Marsa Dubai,Unit,675000.0,22-04-2008,9547.38,1 B/R,1,Bahar 6,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.7,28.9
Marsa Dubai,Unit,1375000.0,22-08-2022,17598.87,1 B/R,1,Al Majara 2,Dubai Marina,Jumeirah Lakes Towers,11.2,56.7
Marsa Dubai,Unit,630812.0,25-04-2021,5353.12,2 B/R,1,Bahar 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.9,29.8
Marsa Dubai,Unit,1300000.0,29-11-2007,18382.35,1 B/R,1,Bahar 6,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.4,27.7
Marsa Dubai,Unit,440000.0,11/5/2008,1646.77,1 B/R,1,MARINA DIAMOND - A,Dubai Marina,Dubai Marina,13.0,65.2
Al Warsan First,Unit,200000.0,14-02-2022,4444.44,Studio,0,Y17,International City Phase 1,Rashidiya Metro Station,5.6,28.1
Al Warsan First,Unit,307553.0,7/9/2021,6543.69,Shop,0,Y15,International City Phase 1,Rashidiya Metro Station,6.5,32.7
Marsa Dubai,Unit,1550000.0,17-05-2021,10141.99,3 B/R,1,MARINA TERRACE,Dubai Marina,Dubai Marina,6.5,33.3
Al Warsan First,Unit,200000.0,26-01-2020,4444.44,Studio,0,Y4,International City Phase 1,Rashidiya Metro Station,9.5,47.6
Al Warsan First,Unit,253500.0,12/2/2020,5633.33,Studio,0,P15,International City Phase 1,Rashidiya Metro Station,7.6,38.1
Al Warsan First,Unit,380000.0,22-01-2009,5671.64,1 B/R,0,Y08,International City Phase 1,Rashidiya Metro Station,8.5,42.7
Al Warsan First,Unit,335000.0,15-12-2022,3489.58,1 B/R,0,Y09,International City Phase 1,Rashidiya Metro Station,12.8,64.2
Marsa Dubai,Unit,1415000.0,20-02-2020,6392.01,3 B/R,0,WATERFRONT,Dubai Marina,Jumeirah Beach Residency,10.1,51.2
Al Warsan First,Unit,190000.0,31-05-2021,4222.22,Studio,0,U20,International City Phase 1,Rashidiya Metro Station,6.4,32.1
Al Warsan First,Unit,211850.0,10/3/2022,6323.88,Shop,0,L12,International City Phase 1,Rashidiya Metro Station,5.2,26.1
Al Warsan First,Unit,207000.0,11/4/2022,4600.0,Studio,0,K06,International City Phase 1,Rashidiya Metro Station,9.1,45.6
Al Warsan First,Unit,255000.0,29-01-2009,5666.67,Studio,0,K13,International City Phase 1,Rashidiya Metro Station,8.2,41.1
Al Warsan First,Unit,225000.0,27-05-2022,5000.0,Studio,0,P01,International City Phase 1,Rashidiya Metro Station,12.4,62.1
Marsa Dubai,Unit,480000.0,25-08-2022,9342.16,1 B/R,1,MANCHESTER,Dubai Marina,Jumeirah Beach Residency,9.6,48.3
Burj Khalifa,Unit,1234500.0,22-02-2022,16501.8,1 B/R,1,BLVD CENTRAL 1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,11.2,56.6
Burj Khalifa,Unit,1400000.0,8/8/2021,11763.72,2 B/R,1,REEHAN 6,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,5.4,27.7
Al Thanyah Fifth,Unit,2650000.0,15-09-2022,12411.02,Office,1,SABA 1,Jumeirah Lakes Towers,Jumeirah Lakes Towers,12.4,63.4
Palm Jumeirah,Unit,2150000.0,16-03-2023,14590.12,2 B/R,1,Al Msalli,Palm Jumeirah,Palm Jumeirah,6.7,34.6
Al Thanyah Fifth,Unit,1900000.0,6/8/2020,7801.59,3 B/R,1,GREEN LAKES S3,Jumeirah Lakes Towers,Damac Properties,12.2,62.0
Al Thanyah Fifth,Unit,452000.0,22-01-2009,6649.01,1 B/R,1,SABA 2,Jumeirah Lakes Towers,Damac Properties,12.5,62.7
Al Warsan First,Unit,330000.0,23-02-2023,4962.41,1 B/R,0,T05,International City Phase 1,Rashidiya Metro Station,11.9,59.7
Marsa Dubai,Unit,6200000.0,27-10-2021,9041.59,4 B/R,1,The Jewels T2,Dubai Marina,Jumeirah Beach Residency,14.0,73.3
Jabal Ali First,Unit,199057.0,3/1/2023,4423.48,Studio,1,MED 54,Discovery Gardens,Harbour Tower,6.9,34.6
Jabal Ali First,Unit,470000.0,12/12/2022,5053.76,1 B/R,0,MED 56,Discovery Gardens,Harbour Tower,10.4,52.2
