Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Thanyah Fifth,Unit,2530000.0,19-07-2022,18279.03,2 B/R,1,BANYAN TREE RESIDENCES HILLSIDE DUBAI,Jumeirah Lakes Towers,Damac Properties,11.3,57.8
Al Barsha South Fourth,Unit,550000.0,28-09-2020,5691.81,1 B/R,1,LAYA Mansion,Jumeirah Village Circle,Nakheel Metro Station,11.6,58.3
Al Thanyah Fifth,Unit,1285000.0,29-04-2021,10342.05,2 B/R,1,MBL RESIDENCE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,9.0,45.7
Al Warsan First,Unit,538000.0,17-02-2023,8848.68,1 B/R,1,LAWNZ BLOCK 4,International City Phase 1,Rashidiya Metro Station,12.7,63.8
Al Barsha South Fourth,Unit,595000.0,13-12-2022,12584.6,Studio,1,Signature Livings - South,Jumeirah Village Circle,Dubai Internet City,9.1,45.8
Al Barshaa South Third,Unit,972800.0,30-05-2021,8555.85,2 B/R,1,2020 Marquis,Arjan,Sharaf Dg Metro Station,14.2,71.5
Al Barshaa South Third,Unit,642400.0,17-05-2021,8596.28,1 B/R,1,2020 Marquis,Arjan,Sharaf Dg Metro Station,9.9,49.8
Business Bay,Unit,4895238.0,17-02-2023,45305.3,1 B/R,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,11.4,59.6
Al Barsha South Fourth,Unit,455000.0,3/10/2021,9625.56,Studio,0,Living Garden II,Jumeirah Village Circle,Nakheel Metro Station,6.2,31.2
Jumeirah First,Unit,1880000.0,15-11-2022,24173.85,1 B/R,1,Le Pont - Building 1,,Trade Centre Metro Station,11.8,60.0
Business Bay,Unit,826228.0,9/11/2022,18083.35,Studio,1,SOL BAY,Business Bay,Business Bay Metro Station,13.9,69.9
Wadi Al Safa 3,Unit,234463.0,20-10-2020,2880.03,1 B/R,1,CROESUS,Majan,,14.9,74.6
Nad Al Shiba First,Unit,1920000.0,3/8/2022,8451.45,2 B/R,1,Injazzat Residence,Meydan,Business Bay Metro Station,8.6,44.0
Al Barshaa South Third,Unit,415000.0,15-04-2022,10759.66,Studio,1,Al Ghaf 1,Arjan,Sharaf Dg Metro Station,13.9,69.7
Business Bay,Unit,1331012.0,14-01-2022,14692.7,1 B/R,1,AMNA TOWER,,Business Bay Metro Station,14.0,70.7
Al Thanyah Fifth,Unit,2835300.0,10/10/2021,6681.36,,1,Detached K6,Jumeirah Lakes Towers,Jumeirah Lakes Towers,8.8,45.5
Warsan Fourth,Unit,400450.0,13-10-2021,6184.56,1 B/R,1,Easy 19,International City Phase 3,Rashidiya Metro Station,13.9,69.7
